Matricula,PROGRAMA EDUCATIVO,BAJA 1ER CUATRI,BAJA 2DO CUATRI,BAJA 3ER CUATRI,Estado civil,Hijos,Problema o padecimiento,Razonamiento matem‡tico,Razonamiento abstracto,R. Verbal,R. Espacial,Inform‡tica,C‡lculo,Comunicaci—n,Mec‡nico,Servicio,Finanzas,Trabaja,Ingreso mensual de padre,Ingreso mensual de madre,Ingresos mensuales familiares,UPQ Primera opci—n,Minutos de trayecto a la universidad,Probabilidad Baja (%)
124050098,3,,,,3,0,0,0.1,0.04,0.01,0.7,0.64,0.64,0.64,0.64,0.76,0.68,1,0.083333333,0.125,0.09375,1,0.041666667,3.956867695
124050026,1,,,,3,0,0,0.7,0.03,0.05,0.2,0.76,0.72,0.86,0.76,0.82,0.76,0,0.083333333,0,0.0625,1,0.083333333,3.95496273
124049646,4,,,,3,0,0,0.6,0.2,0.15,0.8,0.64,0.52,0.48,0.7,0.8,0.64,0,0,0,0,1,0.0625,3.950886726
124050239,1,,,,3,0,0,0.8,0.55,0.25,0.35,0.66,0.8,0.64,0.78,0.8,0.62,1,0,0,0,1,0.333333333,3.925528288
124049442,4,,,,3,0,0,0.4,0.75,0.15,0.97,0.64,0.68,0.56,0.78,0.74,0.64,0,0,0,0,1,0.0625,3.913227081
124050399,4,,,,3,0,0,0.1,0.4,0.2,0.9,0.68,0.8,0.7,0.62,0.7,0.78,1,0,0,0,1,0.041666667,3.912325144
124049567,4,,,,3,0,0,0.1,0.2,0.98,0.35,0.52,0.52,0.56,0.68,0.62,0.52,1,0,0,0,1,0.041666667,3.902844667
124049555,1,,,,3,0,0,0.4,0.2,0.35,0.4,0.54,0.62,0.44,0.68,0.74,0.52,1,0,0.0225,0,1,0.052083333,3.898706675
124049221,1,,,,3,0,0,0.75,0.45,0.15,0.75,0.72,0.58,0.52,0.92,0.72,0.56,0,0.065,0,0.049375,1,0.1875,3.890753508
124049512,3,,,,3,0,0,0.6,0.35,0.02,0.75,0.6,0.58,0.56,0.78,0.7,0.58,1,0.208333333,0,0.15625,1,0.0625,3.887715101
124049325,1,,,,3,0,0,0.03,0.04,0.01,0.1,0.72,0.62,0.64,0.76,0.9,0.76,1,0.05,0.0375,0.05625,1,0.020833333,3.885593176
124048818,3,,,,3,0,0,0.25,0.03,0.1,0.4,0.76,0.74,0.74,0.78,0.78,0.78,1,0.083333333,0,0.0625,1,0.041666667,3.880634785
124049458,4,,,,3,0,0,0.1,0.35,0.1,0.5,0.52,0.68,0.46,0.54,0.72,0.5,0,0,0,0,1,0.041666667,3.876109123
124049375,1,,,,3,0,0,0.1,0.1,0.1,0.8,0.68,0.56,0.64,0.78,0.74,0.68,0,0,0.0125,0,1,0.125,3.837459564
124049450,1,,,,3,0,0,0.98,0.4,0.75,0.85,0.44,0.54,0.72,0.66,0.72,0.52,1,0,0,0,1,0.041666667,3.82397294
124050168,3,,,,3,0,0,0.35,0.04,0.02,0.15,0.58,0.56,0.68,0.66,0.78,0.58,0,0.03125,0.040625,0.04375,1,0.052083333,3.815354824
124049959,0,,,,3,0,0,0.55,0.35,0.04,0.4,0.48,0.48,0.7,0.6,0.78,0.54,0,0,0,0,1,0.0625,3.811154842
124050382,3,,,,3,0,0,0.6,0.4,0.1,0.9,0.62,0.82,0.7,0.88,0.74,0.76,1,0.1,0,0.075,1,0.083333333,3.795578003
124049470,0,,,,3,0,0,0.35,0.6,0.3,0.65,0.82,0.36,0.8,0.64,0.86,0.6,0,0.066666667,0,0.05,1,0.083333333,3.791236401
124049740,1,,,,3,0,0,0.75,0.8,0.1,0.85,0.66,0.68,0.66,0.74,0.74,0.64,0,0.166666667,0.1875,0.125,1,0.0625,3.782662868
124048948,3,,,,3,0,0,0.4,0.1,0.01,0.2,0.6,0.66,0.58,0.6,0.72,0.58,0,0,0,0,1,0.125,3.772294044
124049032,1,,,,3,0,0,0,0.6,0.1,0.9,0.66,0.76,0.64,0.9,0.7,0.64,0,0.166666667,0,0.125,1,0.5,3.763151169
